Club,Division,Nation of Club,Club Reputation
América (Quito),Ecuadorian LigaPro Serie B,Ecuador,National
Cumbayá F.C.,Ecuadorian LigaPro Serie A,Ecuador,National
Gualaceo,Ecuadorian LigaPro Serie A,Ecuador,National
Deportivo Quito,Ecuadorian Segunda Categoría de Pichincha,Ecuador,National
Liga de Loja,Ecuadorian Lower Division,Ecuador,Regional
Santa Rita,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Regional
Guayaquil S.C.,Ecuadorian LigaPro Serie B,Ecuador,Regional
Atl. Porteño,Ecuadorian Lower Division,Ecuador,Regional
Chacaritas F.C.,Ecuadorian LigaPro Serie B,Ecuador,Regional
Imbabura,Ecuadorian LigaPro Serie B,Ecuador,Regional
Atl. Santo Domingo,Ecuadorian LigaPro Serie B,Ecuador,Regional
Espoli,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Regional
Toreros F.C.,Ecuadorian Segunda Categoría de Guayas,Ecuador,Regional
Rocafuerte F.C.,Ecuadorian Lower Division,Ecuador,Regional
Independiente Jrs.,Ecuadorian LigaPro Serie B,Ecuador,Regional
Libertad F.C. (Loja),Ecuadorian LigaPro Serie B,Ecuador,Regional
Deportivo Quevedo,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Local
Grecia,Ecuadorian Lower Division,Ecuador,Local
Otavalo F.C.,Ecuadorian Lower Division,Ecuador,Local
Aampetra,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Local
Audaz Octubrino,Ecuadorian Lower Division,Ecuador,Local
América (Ambato),Ecuadorian Lower Division,Ecuador,Local
Esmeraldas Petrolero,Ecuadorian Lower Division,Ecuador,Local
Patria,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Municipal Cañar,Ecuadorian Lower Division,Ecuador,Local
Atl. Audaz,Ecuadorian Lower Division,Ecuador,Local
U.T.C.,Ecuadorian Lower Division,Ecuador,Local
Atl. Portoviejo,Ecuadorian Lower Division,Ecuador,Local
Everest,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Norte América,Ecuadorian Lower Division,Ecuador,Local
Deportivo Gloria,Ecuadorian Segunda Categoría de Azuay,Ecuador,Local
Atacames S.C.,Ecuadorian Lower Division,Ecuador,Local
Filanbanco,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Alianza (Guano),Ecuadorian Lower Division,Ecuador,Local
Centro Juvenil Deportivo,Ecuadorian Lower Division,Ecuador,Local
Águilas (Santo Domingo),Ecuadorian Lower Division,Ecuador,Local
La Paz (Manta),Ecuadorian Lower Division,Ecuador,Local
Venecia,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Local
Guayaquil F.C.,Ecuadorian Lower Division,Ecuador,Local
San Francisco (Azogues),Ecuadorian Lower Division,Ecuador,Local
Estudiantes (Cuenca),Ecuadorian Segunda Categoría de Azuay,Ecuador,Local
Cañar F.C.,Ecuadorian Lower Division,Ecuador,Local
Panamá,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Green Cross (Tosagua),Ecuadorian Lower Division,Ecuador,Local
U.D.J. Quinindé,Ecuadorian Lower Division,Ecuador,Local
U.T.E.,Ecuadorian Lower Division,Ecuador,Local
Bonita Banana,Ecuadorian Lower Division,Ecuador,Local
Juventus (Esmeraldas),Ecuadorian Lower Division,Ecuador,Local
Calvi F.C.,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Ferroviarios (Durán),Ecuadorian Lower Division,Ecuador,Local
Cuniburo,Ecuadorian Lower Division,Ecuador,Local
Aviced F.C.,Ecuadorian Segunda Categoría de Azuay,Ecuador,Local
Carlos Borbor Reyes,Ecuadorian Lower Division,Ecuador,Local
Deportivo Guano,Ecuadorian Lower Division,Ecuador,Local
3 de Julio,Ecuadorian Lower Division,Ecuador,Local
Cuenca F.C.,Ecuadorian Segunda Categoría de Azuay,Ecuador,Local
Insutec,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Local
Universitario (Píllaro),Ecuadorian Lower Division,Ecuador,Local
Deportivo Coca,Ecuadorian Lower Division,Ecuador,Local
Leones del Norte,Ecuadorian Lower Division,Ecuador,Local
Santa Elena S.C.,Ecuadorian Lower Division,Ecuador,Local
Caribe Junior,Ecuadorian Lower Division,Ecuador,Local
San Camilo,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Local
Atl. Samborondón,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Estudiantes del Guayas,Ecuadorian Segunda Categoría de Guayas,Ecuador,Local
Deportivo Meridiano,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Local
Flamengo (Latacunga),Ecuadorian Lower Division,Ecuador,Local
Vargas Torres,Ecuadorian Lower Division,Ecuador,Local
Grupo Alcívar,Ecuadorian Lower Division,Ecuador,Obscure
Unibolívar,Ecuadorian Lower Division,Ecuador,Obscure
Azogues S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Saquisilí,Ecuadorian Lower Division,Ecuador,Obscure
Luz de América,Ecuadorian Lower Division,Ecuador,Obscure
Emanuel S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Santos (El Guabo),Ecuadorian Lower Division,Ecuador,Obscure
Liga de Cuenca,Ecuadorian Lower Division,Ecuador,Obscure
U.S.F.Q.,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Pelileo S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Estrella Roja (Cuenca),Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
Galácticos F.C. (Manta),Ecuadorian Lower Division,Ecuador,Obscure
Baldor Bermeo Cabrera,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
Atl. Kin,Ecuadorian Lower Division,Ecuador,Obscure
Atl. Saquisilí,Ecuadorian Lower Division,Ecuador,Obscure
Pastaza S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Ciudad de Pedernales,Ecuadorian Lower Division,Ecuador,Obscure
Dunamis,Ecuadorian Lower Division,Ecuador,Obscure
Liga Estudiantil,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
Juventud (Quito),Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Fiorentina (Vinces),Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Deportivo Ibarra,Ecuadorian Lower Division,Ecuador,Obscure
Río Babahoyo,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Portoviejo F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Talleres (Santo Domingo),Ecuadorian Lower Division,Ecuador,Obscure
Real Fortaleza,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
A.D. Naval,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Santo Domingo,Ecuadorian Lower Division,Ecuador,Obscure
Miguel Iturralde,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
San Rafael,Ecuadorian Lower Division,Ecuador,Obscure
Estrellas de Orellana,Ecuadorian Lower Division,Ecuador,Obscure
Sacha Petrolero,Ecuadorian Lower Division,Ecuador,Obscure
Dreamers F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Calceta,Ecuadorian Lower Division,Ecuador,Obscure
Fijalán F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Huancavilca S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Lobos Máster,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Santa Elena,Ecuadorian Lower Division,Ecuador,Obscure
Santa Fe S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Peñarol,Ecuadorian Lower Division,Ecuador,Obscure
Independiente Azogues,Ecuadorian Lower Division,Ecuador,Obscure
Triunfo City,Ecuadorian Lower Division,Ecuador,Obscure
Canteros Aliados,Ecuadorian Lower Division,Ecuador,Obscure
Montúfar F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Yukias,Ecuadorian Lower Division,Ecuador,Obscure
Danubio S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Ciudad de Zamora,Ecuadorian Lower Division,Ecuador,Obscure
Unión Manabita,Ecuadorian Lower Division,Ecuador,Obscure
San Luis de Pambil,Ecuadorian Lower Division,Ecuador,Obscure
La Cantera de Pastaza,-,Ecuador,Obscure
Anaconda F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Huaquillas F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Sagrado Corazón,Ecuadorian Lower Division,Ecuador,Obscure
5 de Agosto,Ecuadorian Lower Division,Ecuador,Obscure
El Guayacán,Ecuadorian Lower Division,Ecuador,Obscure
Cristo Rey,Ecuadorian Lower Division,Ecuador,Obscure
El Globo,Ecuadorian Lower Division,Ecuador,Obscure
Pilahuin Tío,Ecuadorian Lower Division,Ecuador,Obscure
Estudiantes (Pallatanga),Ecuadorian Lower Division,Ecuador,Obscure
Santiago de Píllaro,Ecuadorian Lower Division,Ecuador,Obscure
Ciudadelas del Norte,Ecuadorian Lower Division,Ecuador,Obscure
Fedeguayas,Ecuadorian Lower Division,Ecuador,Obscure
Esmeraldas F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Loja Federal,Ecuadorian Lower Division,Ecuador,Obscure
Liga de Macas,Ecuadorian Lower Division,Ecuador,Obscure
Primero de Mayo (Y),Ecuadorian Lower Division,Ecuador,Obscure
Parma F.C. (Machala),Ecuadorian Lower Division,Ecuador,Obscure
Aussie F.C.,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Quinindé S.C.,Ecuadorian Lower Division,Ecuador,Obscure
San Antonio,Ecuadorian Lower Division,Ecuador,Obscure
Malecón,Ecuadorian Lower Division,Ecuador,Obscure
Mao Sport,Ecuadorian Lower Division,Ecuador,Obscure
Atenas F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Mineros S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Juventud Minera,Ecuadorian Lower Division,Ecuador,Obscure
León Carr,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Bolívar,Ecuadorian Lower Division,Ecuador,Obscure
Rocafuerte S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Peñarol (Chone),Ecuadorian Lower Division,Ecuador,Obscure
Canteras del Jubones,Ecuadorian Lower Division,Ecuador,Obscure
Alianza del Pailón,Ecuadorian Lower Division,Ecuador,Obscure
Huracán S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Chivos F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Teodoro Gómez,Ecuadorian Lower Division,Ecuador,Obscure
Juv. Ind. Tabacundo,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Juventud Italiana,Ecuadorian Lower Division,Ecuador,Obscure
Sport Bilbao,Ecuadorian Lower Division,Ecuador,Obscure
Japan Auto,Ecuadorian Lower Division,Ecuador,Obscure
Cruz del Vado,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
5 de Julio,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Colón,Ecuadorian Lower Division,Ecuador,Obscure
Sucre S.C.,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
S.D. Rayo,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Real Sociedad (Sangolquí),Ecuadorian Lower Division,Ecuador,Obscure
Star Club,Ecuadorian Lower Division,Ecuador,Obscure
Independiente San Pedro,Ecuadorian Lower Division,Ecuador,Obscure
Newell's (Chambo),Ecuadorian Lower Division,Ecuador,Obscure
Valencia (Esmeraldas),Ecuadorian Lower Division,Ecuador,Obscure
Tecni Club,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
Galácticos (Maldonado),Ecuadorian Lower Division,Ecuador,Obscure
Colorados S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Guayas F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Paladín S,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
Geinco F.C.,Ecuadorian Lower Division,Ecuador,Obscure
F.C. UIDE,Ecuadorian Lower Division,Ecuador,Obscure
Rumiñahui,Ecuadorian Lower Division,Ecuador,Obscure
Atl. Sucumbíos,Ecuadorian Lower Division,Ecuador,Obscure
Atl. Ibarra,Ecuadorian Lower Division,Ecuador,Obscure
Liceo Cristiano,Ecuadorian Lower Division,Ecuador,Obscure
Esmeraldas S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Magaly Masson,Ecuadorian Lower Division,Ecuador,Obscure
Orellanense F.C.,Ecuadorian Lower Division,Ecuador,Obscure
América (Santa Rosa),Ecuadorian Lower Division,Ecuador,Obscure
Napoli (Valencia),Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
River (Quevedo),Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Corinthians (Quevedo),Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Ciudad de Quevedo,Ecuadorian Lower Division,Ecuador,Obscure
Patria (Buena Fe),Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Mocache,Ecuadorian Lower Division,Ecuador,Obscure
Vendaval Fluminense,Ecuadorian Segunda Categoría de Los Ríos,Ecuador,Obscure
Deportivo Banife,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
Atl. Giancarlo Ramos,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
La Familia,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
Legión Amarilla,Ecuadorian Segunda Categoría de Guayas,Ecuador,Obscure
Atl. Daule,Ecuadorian Lower Division,Ecuador,Obscure
Da Encarnação,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
Sandino F.C.,Ecuadorian Segunda Categoría de Pichincha,Ecuador,Obscure
La Concordia S.C.,Ecuadorian Lower Division,Ecuador,Obscure
El Cuartel,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
San Pedro del Pongo,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
Paute F.C.,Ecuadorian Segunda Categoría de Azuay,Ecuador,Obscure
Latacunga City,Ecuadorian Lower Division,Ecuador,Obscure
Panamericana,Ecuadorian Lower Division,Ecuador,Obscure
Ídolos F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Alianza San Felipe,Ecuadorian Lower Division,Ecuador,Obscure
Cruzeiro (Pujilí),Ecuadorian Lower Division,Ecuador,Obscure
Sociedad Cotopaxi,Ecuadorian Lower Division,Ecuador,Obscure
Estudiantes (Cotopaxi),Ecuadorian Lower Division,Ecuador,Obscure
Cimarrón Furia Verde,Ecuadorian Lower Division,Ecuador,Obscure
Darwin,Ecuadorian Lower Division,Ecuador,Obscure
Halley,Ecuadorian Lower Division,Ecuador,Obscure
Germud F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Universitario (El Carmen),Ecuadorian Lower Division,Ecuador,Obscure
Atl. Mineiro (Huaquillas),Ecuadorian Lower Division,Ecuador,Obscure
Golden Boys,Ecuadorian Lower Division,Ecuador,Obscure
Ñucanchik Pura S.C.,Ecuadorian Lower Division,Ecuador,Obscure
Italia (Loja),Ecuadorian Lower Division,Ecuador,Obscure
Valle de Catamayo,Ecuadorian Lower Division,Ecuador,Obscure
Sport Villarreal,Ecuadorian Lower Division,Ecuador,Obscure
Sportivo Loja,Ecuadorian Lower Division,Ecuador,Obscure
S.C. Ecuador,Ecuadorian Lower Division,Ecuador,Obscure
La Cantera F.C. (Ibarra),Ecuadorian Lower Division,Ecuador,Obscure
Independiente Ibarra,Ecuadorian Lower Division,Ecuador,Obscure
Chicos Malos,Ecuadorian Lower Division,Ecuador,Obscure
Deportivo Sucúa,Ecuadorian Lower Division,Ecuador,Obscure
Morona,Ecuadorian Lower Division,Ecuador,Obscure
Echeandía,Ecuadorian Lower Division,Ecuador,Obscure
Atl. Ciudad de Tulcán,Ecuadorian Lower Division,Ecuador,Obscure
D' León,Ecuadorian Lower Division,Ecuador,Obscure
Primero de Mayo (G),Ecuadorian Lower Division,Ecuador,Obscure
Ciudad de Yantzaza,Ecuadorian Lower Division,Ecuador,Obscure
Oriental,Ecuadorian Lower Division,Ecuador,Obscure
Sonorama F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Los Ases,Ecuadorian Lower Division,Ecuador,Obscure
La Troncal Unida,Ecuadorian Lower Division,Ecuador,Obscure
S.R.P. Mera,Ecuadorian Lower Division,Ecuador,Obscure
Los Ángeles de S.V. Caney,Ecuadorian Lower Division,Ecuador,Obscure
K'Chis,Ecuadorian Lower Division,Ecuador,Obscure
Scorpion F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Fénix (Santo Domingo),Ecuadorian Lower Division,Ecuador,Obscure
Espartanos,Ecuadorian Lower Division,Ecuador,Obscure
Peninsulares F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Cobras F.C.,Ecuadorian Lower Division,Ecuador,Obscure
Carchi F.C.,Ecuadorian Lower Division,Ecuador,Obscure
L.D.E. Primero de Mayo,-,Ecuador,Obscure
U. Española (Guayaquil),Ecuadorian Lower Division,Ecuador,Obscure
7 de Febrero,Ecuadorian Lower Division,Ecuador,Obscure
Al-Ahly,Egyptian Premier League,Egypt,Continental
Zamalek,Egyptian Premier League,Egypt,Continental
Pyramids,Egyptian Premier League,Egypt,Continental
Ismaily,Egyptian Premier League,Egypt,Continental
Smouha,Egyptian Premier League,Egypt,Continental
Al-Masry,Egyptian Premier League,Egypt,National
ENPPI,Egyptian Premier League,Egypt,National
Future,Egyptian Premier League,Egypt,National
Al-Gaish,Egyptian Premier League,Egypt,National
Pharco,Egyptian Premier League,Egypt,National
El Gouna,Egyptian Premier League,Egypt,National
Arab Contractors,Egyptian Premier League,Egypt,National
Ceramica Cleopatra,Egyptian Premier League,Egypt,National
Wadi Degla,Egyptian Second Division - Group 2,Egypt,National
Haras El Hodoud,Egyptian Second Division - Group 3,Egypt,National
Ghazl El-Mahalla,Egyptian Premier League,Egypt,National
National Bank,Egyptian Premier League,Egypt,National
Tersana,Egyptian Second Division - Group 2,Egypt,National
